experiment_id,customer_id,experiment_name,group,assignment_date,converted
EXP00001,C09766,New_Product_Page,Control,2025-10-06 11:02:05,0
EXP00002,C02483,New_Product_Page,Treatment,2025-08-05 14:19:18,0
EXP00003,C01362,New_Product_Page,Control,2025-08-31 21:45:09,0
EXP00004,C04899,New_Product_Page,Control,2025-08-22 03:25:43,0
EXP00005,C07251,New_Product_Page,Treatment,2025-08-20 23:48:42,0
EXP00006,C03379,New_Product_Page,Control,2025-08-08 16:36:19,0
EXP00007,C08207,New_Product_Page,Control,2025-08-19 08:29:33,0
EXP00008,C08415,New_Product_Page,Control,2025-10-05 17:45:17,0
EXP00009,C02710,New_Product_Page,Control,2025-08-07 14:56:38,0
EXP00010,C00070,New_Product_Page,Treatment,2025-07-02 03:15:54,0
EXP00011,C02754,New_Product_Page,Treatment,2025-08-19 04:57:54,1
EXP00012,C05188,New_Product_Page,Control,2025-08-05 09:21:47,0
EXP00013,C01192,New_Product_Page,Control,2025-10-29 18:34:40,0
EXP00014,C03704,New_Product_Page,Control,2025-08-17 03:06:28,0
EXP00015,C08392,New_Product_Page,Treatment,2025-07-17 13:36:13,0
EXP00016,C01334,New_Product_Page,Control,2025-10-23 10:44:04,0
EXP00017,C08264,New_Product_Page,Control,2025-10-24 23:42:41,1
EXP00018,C07139,New_Product_Page,Treatment,2025-08-27 18:27:54,0
EXP00019,C03368,New_Product_Page,Treatment,2025-07-05 13:38:08,0
EXP00020,C09080,New_Product_Page,Treatment,2025-10-10 06:27:34,0
EXP00021,C09507,New_Product_Page,Treatment,2025-07-19 02:17:30,0
EXP00022,C03673,New_Product_Page,Control,2025-08-23 11:24:50,0
EXP00023,C04551,New_Product_Page,Control,2025-07-16 22:16:14,0
EXP00024,C03259,New_Product_Page,Control,2025-09-22 22:08:12,1
EXP00025,C04974,New_Product_Page,Treatment,2025-10-29 12:51:27,0
EXP00026,C04023,New_Product_Page,Treatment,2025-08-10 23:15:06,1
EXP00027,C08001,New_Product_Page,Treatment,2025-08-18 22:01:57,0
EXP00028,C01817,New_Product_Page,Control,2025-08-07 15:02:28,0
EXP00029,C02964,New_Product_Page,Treatment,2025-07-01 12:37:16,0
EXP00030,C08611,New_Product_Page,Treatment,2025-08-23 21:03:36,0
EXP00031,C05483,New_Product_Page,Treatment,2025-08-20 19:57:53,0
EXP00032,C02358,New_Product_Page,Treatment,2025-08-12 15:02:18,0
EXP00033,C05849,New_Product_Page,Control,2025-08-21 22:55:59,0
EXP00034,C06005,New_Product_Page,Control,2025-07-16 21:30:51,0
EXP00035,C02787,New_Product_Page,Control,2025-07-12 02:45:52,0
EXP00036,C09912,New_Product_Page,Treatment,2025-07-26 11:24:23,1
EXP00037,C00805,New_Product_Page,Control,2025-07-12 08:04:43,1
EXP00038,C07052,New_Product_Page,Control,2025-10-15 07:05:45,0
