session_id,customer_id,session_date,session_duration,pages_viewed,device,traffic_source
S000001,C02816,2025-03-01 19:37:14,13.69,2,Mobile,Social Media
S000002,C02470,2025-10-20 16:56:58,7.39,4,Mobile,Referral
S000003,C03885,2025-02-18 02:08:19,1.65,8,Mobile,Paid Ads
S000004,C01397,2025-08-03 11:22:02,4.61,7,Mobile,Email
S000005,C03347,2025-12-07 09:12:21,7.82,8,Desktop,Paid Ads
S000006,C01267,2025-10-31 21:17:18,4.97,7,Tablet,Social Media
S000007,C00318,2025-12-02 11:32:48,0.91,5,Mobile,Organic
S000008,C05788,2025-05-12 06:19:18,6.5,4,Mobile,Social Media
S000009,C01565,2025-11-18 07:29:48,2.4,9,Mobile,Paid Ads
S000010,C02341,2025-09-07 18:39:49,1.3,8,Mobile,Paid Ads
S000011,C00432,2025-09-07 03:36:43,3.35,3,Mobile,Organic
S000012,C09735,2025-02-19 02:54:20,9.45,9,Mobile,Paid Ads
S000013,C01591,2025-01-03 16:14:16,1.0,4,Desktop,Organic
S000014,C08176,2025-02-18 07:36:23,3.29,10,Mobile,Paid Ads
S000015,C00982,2025-08-22 19:20:09,13.47,4,Desktop,Referral
S000016,C05565,2025-09-27 04:14:06,10.39,3,Desktop,Paid Ads
S000017,C03606,2025-07-22 09:37:26,3.72,4,Desktop,Paid Ads
S000018,C04560,2025-10-14 18:27:55,14.34,3,Desktop,Organic
S000019,C08254,2025-04-27 15:23:32,1.97,4,Mobile,Organic
S000020,C02998,2025-01-12 07:17:00,5.41,9,Desktop,Referral
S000021,C08084,2025-08-02 14:39:55,7.09,6,Mobile,Referral
S000022,C05938,2025-12-11 21:22:56,5.46,8,Mobile,Organic
S000023,C04511,2025-06-22 07:06:45,6.29,7,Desktop,Social Media
S000024,C07379,2025-05-25 04:31:23,4.27,7,Mobile,Referral
S000025,C03321,2025-12-01 02:14:05,6.68,6,Desktop,Social Media
S000026,C03352,2025-08-03 07:18:34,11.01,8,Desktop,Email
S000027,C01769,2025-09-19 19:46:47,11.85,5,Mobile,Organic
S000028,C05169,2025-02-21 00:22:49,2.93,7,Mobile,Social Media
S000029,C02421,2025-06-13 07:19:55,9.44,9,Tablet,Organic
S000030,C01024,2025-02-18 23:54:28,3.55,7,Mobile,Paid Ads
S000031,C02041,2025-08-04 14:58:44,6.6,7,Desktop,Organic
S000032,C00366,2025-02-14 00:21:54,5.46,5,Mobile,Paid Ads
S000033,C06444,2025-07-11 02:06:35,12.23,6,Mobile,Paid Ads
S000034,C00377,2025-08-13 09:25:24,6.71,7,Desktop,Paid Ads
S000035,C09461,2025-08-10 01:40:21,13.06,10,Mobile,Social Media
