event_id,customer_id,session_id,event_date,event_type,product_id,device,experiment_group
E0000001,C09672,S016384,2025-10-12 18:01:24,Visit,,Tablet,Treatment
E0000002,C01740,S021298,2025-01-17 23:54:18,Visit,,Mobile,Treatment
E0000003,C06304,S113277,2025-06-24 05:37:14,Visit,,Desktop,Treatment
E0000004,C03502,S042696,2025-01-25 16:04:42,Visit,,Desktop,Control
E0000005,C01087,S097114,2025-12-30 07:37:24,Visit,,Desktop,Control
E0000006,C07983,S090761,2025-07-01 21:56:54,Visit,,Mobile,Treatment
E0000007,C04152,S009061,2025-03-30 07:24:55,Visit,,Desktop,Control
E0000008,C04442,S014274,2025-08-14 17:29:38,Visit,,Mobile,Treatment
E0000009,C05718,S034198,2025-02-10 11:15:48,Visit,,Mobile,Treatment
E0000010,C03820,S009822,2025-11-19 13:24:04,Visit,,Mobile,Treatment
E0000011,C09908,S054175,2025-12-21 14:10:17,Visit,,Desktop,Control
E0000012,C07078,S061903,2025-01-08 08:28:06,Visit,,Desktop,Control
E0000013,C00699,S049355,2025-08-13 18:18:33,Visit,,Mobile,Treatment
E0000014,C01899,S113024,2025-02-18 15:05:13,Visit,,Mobile,Treatment
E0000015,C01763,S036604,2025-09-04 21:25:19,Visit,,Mobile,Treatment
E0000016,C05847,S086458,2025-08-24 07:22:05,Visit,,Desktop,Treatment
E0000017,C03169,S018096,2025-03-16 12:12:39,Visit,,Desktop,Control
E0000018,C05199,S070492,2025-08-14 07:26:52,Visit,,Tablet,Control
E0000019,C09647,S038021,2025-11-13 12:03:09,Visit,,Desktop,Control
E0000020,C08327,S068071,2025-03-07 19:38:04,Visit,,Tablet,Control
E0000021,C05229,S022179,2025-05-19 11:52:44,Visit,,Desktop,Control
E0000022,C00650,S110630,2025-09-12 19:28:24,Visit,,Mobile,Treatment
E0000023,C04795,S077614,2025-07-21 21:17:15,Visit,,Desktop,Control
E0000024,C06356,S094255,2025-04-24 16:14:09,Visit,,Desktop,Control
E0000025,C02510,S012031,2025-03-09 19:14:36,Visit,,Mobile,Treatment
E0000026,C05488,S108928,2025-09-21 14:11:02,Visit,,Desktop,Treatment
E0000027,C09963,S036516,2025-07-27 13:34:48,Visit,,Mobile,Control
E0000028,C06026,S056725,2025-01-16 02:01:53,Visit,,Desktop,Treatment
E0000029,C03999,S091620,2025-03-25 11:15:51,Visit,,Mobile,Control
E0000030,C04963,S092840,2025-12-12 17:26:53,Visit,,Desktop,Treatment
E0000031,C01975,S093441,2025-11-27 09:50:23,Visit,,Mobile,Treatment
E0000032,C08017,S109179,2025-05-14 13:17:21,Visit,,Mobile,Treatment
E0000033,C08872,S059138,2025-01-19 02:10:31,Visit,,Tablet,Control
E0000034,C07915,S089811,2025-03-17 21:44:22,Visit,,Desktop,Control
E0000035,C01242,S022890,2025-05-09 09:35:10,Visit,,Desktop,Control
E0000036,C02297,S002066,2025-08-06 06:49:34,Visit,,Desktop,Control
E0000037,C04505,S037931,2025-09-15 07:27:04,Visit,,Mobile,Control
E0000038,C00499,S100194,2025-06-06 21:49:47,Visit,,Mobile,Treatment
E0000039,C03048,S016125,2025-02-13 11:35:48,Visit,,Desktop,Control
E0000040,C07136,S076837,2025-07-24 21:02:11,Visit,,Mobile,Treatment
E0000041,C05742,S073847,2025-11-01 12:29:17,Visit,,Mobile,Control
E0000042,C01678,S073220,2025-07-05 13:20:31,Visit,,Mobile,Treatment
E0000043,C03797,S082784,2025-12-16 12:02:31,Visit,,Mobile,Control
E0000044,C02229,S084538,2025-03-25 13:05:17,Visit,,Mobile,Control
E0000045,C08280,S053268,2025-04-01 14:09:47,Visit,,Mobile,Control
E0000046,C04635,S104822,2025-01-22 06:56:17,Visit,,Tablet,Control
E0000047,C08577,S101233,2025-12-06 02:29:27,Visit,,Desktop,Control
E0000048,C01870,S070193,2025-10-08 23:00:37,Visit,,Mobile,Treatment
E0000049,C07155,S051366,2025-08-01 08:34:08,Visit,,Desktop,Control
E0000050,C03016,S035609,2025-09-05 08:43:49,Visit,,Mobile,Control
E0000051,C08173,S061164,2025-05-29 15:21:17,Visit,,Mobile,Control
E0000052,C07879,S051025,2025-11-22 19:13:44,Visit,,Mobile,Treatment
E0000053,C07404,S039849,2025-10-04 23:01:14,Visit,,Desktop,Control
E0000054,C05761,S105590,2025-03-20 05:46:42,Visit,,Mobile,Control
E0000055,C06427,S030758,2025-01-07 12:13:39,Visit,,Mobile,Control
E0000056,C02082,S107127,2025-07-02 17:08:31,Visit,,Desktop,Control
E0000057,C00418,S086828,2025-09-13 20:32:01,Visit,,Mobile,Treatment
E0000058,C00605,S061046,2025-06-26 09:13:34,Visit,,Tablet,Treatment
E0000059,C01314,S085903,2025-07-17 08:57:35,Visit,,Mobile,Treatment
E0000060,C00946,S017513,2025-01-28 08:15:26,Visit,,Mobile,Control
E0000061,C09609,S114039,2025-07-10 06:10:59,Visit,,Desktop,Control
E0000062,C03519,S047562,2025-07-31 14:15:40,Visit,,Mobile,Control
E0000063,C03663,S085764,2025-11-07 15:48:14,Visit,,Mobile,Control
E0000064,C09683,S028812,2025-03-03 20:14:35,Visit,,Mobile,Treatment
E0000065,C02713,S005873,2025-02-22 05:06:53,Visit,,Mobile,Control
E0000066,C00446,S109083,2025-05-11 20:18:59,Visit,,Mobile,Control
E0000067,C05877,S049126,2025-04-16 14:33:21,Visit,,Desktop,Control
E0000068,C07936,S053828,2025-02-02 18:54:39,Visit,,Mobile,Control
E0000069,C06629,S013831,2025-06-25 21:32:47,Visit,,Mobile,Treatment
E0000070,C01741,S015291,2025-09-06 09:03:59,Visit,,Mobile,Treatment
E0000071,C09865,S011231,2025-03-02 21:27:04,Visit,,Mobile,Treatment
E0000072,C07839,S003040,2025-12-25 20:16:47,Visit,,Mobile,Control
E0000073,C05880,S011877,2025-11-07 04:41:21,Visit,,Mobile,Control
E0000074,C00114,S024931,2025-10-10 21:08:20,Visit,,Desktop,Treatment
E0000075,C04678,S067516,2025-07-10 02:59:49,Visit,,Desktop,Treatment
E0000076,C05191,S009789,2025-06-30 03:59:39,Visit,,Tablet,Treatment
E0000077,C04533,S004210,2025-05-04 18:30:50,Visit,,Mobile,Treatment
E0000078,C04631,S081770,2025-07-21 22:22:16,Visit,,Mobile,Treatment
E0000079,C04792,S085455,2025-03-20 08:19:29,Visit,,Tablet,Treatment
E0000080,C04070,S043223,2025-02-23 14:54:28,Visit,,Mobile,Control
E0000081,C07511,S054141,2025-02-05 14:56:17,Visit,,Mobile,Treatment
E0000082,C06971,S017312,2025-05-05 11:10:59,Visit,,Desktop,Treatment
E0000083,C06544,S006768,2025-06-21 17:17:40,Visit,,Desktop,Control
E0000084,C05967,S065476,2025-02-12 10:05:52,Visit,,Mobile,Control
E0000085,C02895,S009613,2025-03-31 07:05:22,Visit,,Mobile,Control
E0000086,C02577,S026334,2025-11-09 16:39:49,Visit,,Mobile,Control
E0000087,C08672,S002523,2025-09-02 00:52:36,Visit,,Mobile,Treatment
E0000088,C00733,S046228,2025-09-02 09:37:05,Visit,,Mobile,Control
E0000089,C02423,S084989,2025-10-06 14:27:09,Visit,,Mobile,Control
E0000090,C05223,S027682,2025-09-08 04:11:15,Visit,,Mobile,Control
E0000091,C03085,S027107,2025-11-04 20:24:23,Visit,,Mobile,Treatment
E0000092,C02273,S006577,2025-02-09 04:10:32,Visit,,Desktop,Control
E0000093,C00484,S038709,2025-07-15 04:31:50,Visit,,Desktop,Control
E0000094,C07291,S004083,2025-08-25 13:53:04,Visit,,Mobile,Control
E0000095,C08309,S016887,2025-09-23 01:06:12,Visit,,Mobile,Treatment
E0000096,C02400,S065503,2025-11-13 15:27:08,Visit,,Mobile,Treatment
E0000097,C09077,S047446,2025-08-10 05:45:26,Visit,,Mobile,Control
E0000098,C05654,S074479,2025-07-23 12:32:32,Visit,,Tablet,Control
E0000099,C09142,S001356,2025-08-23 02:41:00,Visit,,Mobile,Control
E0000100,C02811,S063298,2025-10-21 00:06:55,Visit,,Mobile,Control
E0000101,C05577,S008200,2025-08-10 20:20:28,Visit,,Mobile,Treatment
E0000102,C07407,S021855,2025-05-08 11:06:28,Visit,,Desktop,Control
E0000103,C06594,S027652,2025-10-05 12:57:49,Visit,,Mobile,Treatment
E0000104,C01295,S001480,2025-10-03 18:06:49,Visit,,Mobile,Treatment
E0000105,C05857,S037606,2025-04-16 09:56:05,Visit,,Mobile,Treatment
E0000106,C09799,S112529,2025-08-31 02:17:05,Visit,,Tablet,Control
E0000107,C04155,S071195,2025-04-24 05:12:13,Visit,,Mobile,Treatment
E0000108,C07422,S095536,2025-02-15 03:56:27,Visit,,Mobile,Control
E0000109,C01454,S061769,2025-05-24 04:51:53,Visit,,Desktop,Control
E0000110,C03957,S020164,2025-07-03 01:15:04,Visit,,Mobile,Treatment
E0000111,C05937,S049864,2025-12-22 08:14:00,Visit,,Mobile,Treatment
E0000112,C08140,S035010,2025-07-22 05:33:07,Visit,,Desktop,Treatment
E0000113,C07482,S034494,2025-04-08 23:57:57,Visit,,Mobile,Control
E0000114,C01623,S018218,2025-08-29 09:29:53,Visit,,Desktop,Control
E0000115,C04092,S006848,2025-10-02 02:23:58,Visit,,Mobile,Treatment
E0000116,C02098,S096874,2025-02-23 15:31:26,Visit,,Mobile,Control
E0000117,C04994,S014028,2025-03-22 17:53:31,Visit,,Mobile,Control
E0000118,C04285,S062376,2025-09-16 12:40:26,Visit,,Desktop,Control
E0000119,C03155,S068363,2025-05-11 08:08:20,Visit,,Desktop,Treatment
E0000120,C02626,S072704,2025-12-02 09:14:00,Visit,,Mobile,Treatment
E0000121,C04405,S010637,2025-06-26 11:42:08,Visit,,Mobile,Control
E0000122,C03330,S110251,2025-12-13 13:01:18,Visit,,Mobile,Treatment
E0000123,C08666,S091233,2025-10-31 18:19:11,Visit,,Mobile,Treatment
E0000124,C02038,S063023,2025-12-06 06:57:06,Visit,,Desktop,Treatment
E0000125,C07893,S063480,2025-09-27 17:40:01,Visit,,Desktop,Treatment
E0000126,C03637,S023000,2025-05-04 07:15:38,Visit,,Mobile,Control
E0000127,C08057,S068763,2025-12-15 10:41:48,Visit,,Mobile,Treatment
E0000128,C07692,S025748,2025-10-15 10:24:14,Visit,,Desktop,Control
E0000129,C04130,S090644,2025-10-06 07:31:27,Visit,,Desktop,Treatment
E0000130,C08550,S043396,2025-03-28 06:07:16,Visit,,Mobile,Treatment
E0000131,C05960,S019276,2025-02-16 21:32:25,Visit,,Desktop,Control
E0000132,C05437,S043164,2025-07-28 20:02:50,Visit,,Mobile,Control
E0000133,C02129,S106814,2025-10-03 09:04:35,Visit,,Mobile,Treatment
E0000134,C03800,S016666,2025-10-11 06:28:46,Visit,,Mobile,Treatment
E0000135,C05886,S067489,2025-10-20 00:17:06,Visit,,Mobile,Treatment
E0000136,C01917,S023047,2025-08-13 15:04:48,Visit,,Mobile,Treatment
E0000137,C00508,S072360,2025-07-16 22:47:50,Visit,,Mobile,Treatment
E0000138,C05615,S097524,2025-12-15 04:51:19,Visit,,Desktop,Treatment
E0000139,C06005,S094749,2025-10-06 15:00:36,Visit,,Desktop,Treatment
E0000140,C07876,S096397,2025-11-03 19:39:19,Visit,,Desktop,Treatment
E0000141,C08966,S013314,2025-04-11 09:07:34,Visit,,Desktop,Control
E0000142,C01863,S015450,2025-02-17 04:02:51,Visit,,Tablet,Control
E0000143,C07730,S080873,2025-05-02 05:47:40,Visit,,Mobile,Control
E0000144,C00407,S075539,2025-11-21 20:44:12,Visit,,Desktop,Treatment
E0000145,C02040,S087518,2025-06-08 13:34:42,Visit,,Desktop,Control
E0000146,C07082,S113072,2025-02-20 21:24:16,Visit,,Mobile,Control
E0000147,C00546,S093226,2025-07-04 10:15:40,Visit,,Desktop,Control
E0000148,C08564,S035859,2025-04-07 04:02:15,Visit,,Desktop,Control
E0000149,C09993,S024251,2025-05-14 11:37:21,Visit,,Tablet,Control
E0000150,C01696,S010889,2025-07-21 17:53:04,Visit,,Desktop,Treatment
E0000151,C07603,S032624,2025-11-16 11:42:46,Visit,,Mobile,Control
E0000152,C04511,S082496,2025-09-04 18:48:22,Visit,,Mobile,Control
E0000153,C02028,S078039,2025-05-29 03:18:46,Visit,,Mobile,Treatment
E0000154,C01160,S062747,2025-11-18 12:25:15,Visit,,Mobile,Control
E0000155,C02406,S006683,2025-09-20 21:37:56,Visit,,Mobile,Control
E0000156,C09305,S097804,2025-06-21 16:14:49,Visit,,Mobile,Control
E0000157,C04168,S076230,2025-07-11 11:43:38,Visit,,Tablet,Treatment
E0000158,C09063,S050647,2025-01-14 16:10:44,Visit,,Desktop,Control
E0000159,C05561,S099822,2025-01-19 06:40:47,Visit,,Mobile,Treatment
E0000160,C00432,S083225,2025-08-28 08:36:06,Visit,,Mobile,Control
E0000161,C02177,S009255,2025-06-21 11:40:09,Visit,,Mobile,Treatment
E0000162,C05636,S045489,2025-01-23 21:52:47,Visit,,Desktop,Treatment
E0000163,C01602,S043307,2025-12-27 14:47:16,Visit,,Desktop,Treatment
E0000164,C00147,S077825,2025-01-31 07:02:19,Visit,,Mobile,Control
E0000165,C07428,S023430,2025-01-29 20:52:28,Visit,,Desktop,Control
E0000166,C05204,S035366,2025-08-29 12:34:30,Visit,,Mobile,Treatment
E0000167,C01281,S005292,2025-01-08 22:54:00,Visit,,Desktop,Control
E0000168,C07048,S006386,2025-09-19 08:04:34,Visit,,Desktop,Treatment
E0000169,C07299,S102690,2025-06-14 11:19:03,Visit,,Desktop,Control
E0000170,C06124,S036327,2025-10-28 04:01:41,Visit,,Desktop,Control
E0000171,C09283,S039729,2025-01-09 16:15:53,Visit,,Mobile,Control
E0000172,C08362,S002715,2025-12-27 14:04:23,Visit,,Mobile,Control
E0000173,C07429,S063957,2025-08-11 18:58:59,Visit,,Desktop,Control
E0000174,C02915,S084106,2025-11-26 06:34:46,Visit,,Desktop,Control
E0000175,C03290,S012672,2025-09-07 13:39:03,Visit,,Mobile,Control
E0000176,C04122,S105657,2025-04-15 22:00:45,Visit,,Mobile,Control
E0000177,C01998,S030713,2025-02-19 16:42:11,Visit,,Mobile,Control
E0000178,C08740,S033838,2025-04-18 02:54:27,Visit,,Desktop,Control
E0000179,C08869,S049420,2025-03-11 21:53:59,Visit,,Mobile,Treatment
E0000180,C05306,S086025,2025-08-10 05:15:40,Visit,,Desktop,Treatment
E0000181,C06919,S068036,2025-11-20 20:25:39,Visit,,Mobile,Treatment
E0000182,C01151,S069455,2025-08-16 03:24:01,Visit,,Mobile,Treatment
E0000183,C01861,S098707,2025-10-10 15:16:42,Visit,,Desktop,Control
E0000184,C01260,S097455,2025-12-18 00:45:36,Visit,,Desktop,Control
E0000185,C09123,S071418,2025-03-20 14:42:35,Visit,,Mobile,Control
E0000186,C03953,S106152,2025-12-03 01:48:56,Visit,,Mobile,Control
E0000187,C00971,S035243,2025-02-12 12:22:58,Visit,,Mobile,Control
E0000188,C02900,S100560,2025-10-02 09:39:18,Visit,,Desktop,Control
E0000189,C09347,S037758,2025-05-03 15:14:31,Visit,,Mobile,Control
E0000190,C00137,S038544,2025-11-06 21:25:32,Visit,,Mobile,Treatment
E0000191,C01360,S089691,2025-10-13 06:09:17,Visit,,Mobile,Control
E0000192,C00897,S068687,2025-08-04 08:17:24,Visit,,Desktop,Control
E0000193,C08419,S079138,2025-09-06 01:20:52,Visit,,Mobile,Treatment
E0000194,C02126,S001811,2025-03-06 09:38:24,Visit,,Tablet,Treatment
E0000195,C00268,S104038,2025-08-31 12:31:40,Visit,,Desktop,Treatment
E0000196,C04591,S108333,2025-02-01 04:46:20,Visit,,Desktop,Control
E0000197,C00434,S098486,2025-01-13 19:10:24,Visit,,Desktop,Treatment
E0000198,C03060,S103577,2025-11-09 19:23:02,Visit,,Mobile,Control
E0000199,C02437,S047215,2025-12-09 05:44:27,Visit,,Tablet,Treatment
E0000200,C04090,S065904,2025-03-29 17:28:03,Visit,,Desktop,Control
E0000201,C03169,S091864,2025-12-16 07:23:35,Visit,,Mobile,Treatment
E0000202,C01874,S085288,2025-06-16 12:22:15,Visit,,Mobile,Control
E0000203,C02595,S109850,2025-06-04 07:40:13,Visit,,Mobile,Control
E0000204,C03275,S029815,2025-10-24 14:23:46,Visit,,Tablet,Control
E0000205,C03974,S021391,2025-09-14 11:57:57,Visit,,Desktop,Treatment
E0000206,C01591,S061006,2025-02-19 13:15:16,Visit,,Mobile,Treatment
E0000207,C01208,S014076,2025-12-21 20:20:23,Visit,,Desktop,Treatment
E0000208,C09903,S045851,2025-12-17 23:53:53,Visit,,Tablet,Treatment
E0000209,C06039,S075764,2025-06-16 14:52:40,Visit,,Mobile,Control
E0000210,C02272,S097373,2025-10-20 16:41:11,Visit,,Mobile,Control
E0000211,C06797,S082632,2025-09-19 21:24:13,Visit,,Mobile,Treatment
E0000212,C06649,S064827,2025-12-01 17:19:30,Visit,,Mobile,Control
E0000213,C07382,S054776,2025-08-17 16:39:04,Visit,,Mobile,Treatment
E0000214,C02703,S096362,2025-05-03 17:21:36,Visit,,Desktop,Control
E0000215,C08190,S086297,2025-11-14 20:57:49,Visit,,Mobile,Control
E0000216,C08051,S084858,2025-04-25 04:49:09,Visit,,Mobile,Control
E0000217,C03595,S004906,2025-09-10 00:32:31,Visit,,Desktop,Control
E0000218,C09238,S019018,2025-06-05 05:01:36,Visit,,Mobile,Treatment
E0000219,C04656,S005587,2025-11-10 17:17:51,Visit,,Mobile,Treatment
E0000220,C07136,S026863,2025-12-27 02:32:34,Visit,,Mobile,Control
E0000221,C01826,S080315,2025-08-10 11:28:39,Visit,,Mobile,Treatment
