customer_id,signup_date,age,gender,city,state,region,subscription_type,acquisition_channel
C00001,2025-08-14 15:52:10,58.0,Female,Ahmedabad,Gujarat,West,Free,Email
C00002,2025-09-07 14:02:33,46.0,Male,Chennai,Tamil Nadu,South,Free,Paid Ads
C00003,2025-04-03 10:35:37,60.0,Other,Delhi,Delhi,North,Basic,Organic
C00004,2025-04-22 01:19:46,53.0,Male,Jaipur,Rajasthan,North,Free,Organic
C00005,2025-05-15 04:24:13,31.0,Male,Guwahati,Assam,East,Free,Paid Ads
C00006,2025-11-21 21:55:03,35.0,Male,Guwahati,Assam,East,Free,Referral
C00007,2025-05-22 23:32:58,24.0,Female,Guwahati,Assam,East,Premium,Email
C00008,2025-03-15 02:09:35,40.0,Male,Hyderabad,Telangana,South,Premium,Referral
C00009,2025-02-27 22:56:33,50.0,Female,Jaipur,Rajasthan,North,Free,Referral
C00010,2025-05-11 11:23:38,33.0,Male,Delhi,Delhi,North,Basic,Organic
C00011,2025-07-16 04:35:13,54.0,Male,Bhubaneswar,Odisha,East,Free,Organic
C00012,2025-04-30 06:41:05,42.0,Female,Bengaluru,Karnataka,South,Basic,Referral
C00013,2025-05-20 18:33:45,26.0,Female,Hyderabad,Telangana,South,Free,Social Media
C00014,2025-08-27 10:37:41,45.0,Male,Kolkata,West Bengal,East,Free,Referral
C00015,2025-01-27 02:49:47,26.0,Female,Guwahati,Assam,East,Basic,Paid Ads
C00016,2025-03-13 21:15:43,29.0,Female,Bhubaneswar,Odisha,East,Free,Referral
C00017,2025-07-30 20:45:30,35.0,Male,Mumbai,Maharashtra,West,Free,Paid Ads
C00018,2025-10-29 22:47:44,44.0,Male,Jaipur,Rajasthan,North,Premium,Organic
C00019,2025-07-17 03:28:16,43.0,Male,Ahmedabad,Gujarat,West,Premium,Social Media
C00020,2025-11-27 15:46:22,43.0,Male,Pune,Maharashtra,West,Free,Paid Ads
C00021,2025-09-01 15:05:47,27.0,Female,Lucknow,Uttar Pradesh,North,Basic,Paid Ads
C00022,2025-09-06 21:09:14,34.0,Male,Guwahati,Assam,East,Basic,Referral
C00023,2025-01-29 03:12:15,49.0,Male,Ahmedabad,Gujarat,West,Free,Organic
C00024,2025-03-10 19:21:03,41.0,Male,Pune,Maharashtra,West,Premium,Paid Ads
C00025,2025-09-10 00:25:58,60.0,Female,Pune,Maharashtra,West,Basic,Referral
C00026,2025-02-17 23:01:57,25.0,Female,Bengaluru,Karnataka,South,Basic,Organic
C00027,2025-06-24 10:46:57,47.0,Male,Kolkata,West Bengal,East,Free,Social Media
C00028,2025-10-10 06:46:57,43.0,Male,Jaipur,Rajasthan,North,Free,Paid Ads
C00029,2025-05-13 19:31:27,,Male,Jaipur,Rajasthan,North,Free,Social Media
C00030,2025-09-27 19:04:01,44.0,Female,Bhubaneswar,Odisha,East,Free,Social Media
C00031,2025-08-10 21:11:25,32.0,Male,Jaipur,Rajasthan,North,Free,Paid Ads
C00032,2025-03-14 13:12:38,45.0,Female,Guwahati,Assam,East,Free,Organic
C00033,2025-02-09 10:27:44,28.0,Male,Guwahati,Assam,East,Free,Social Media
C00034,2025-08-23 06:25:07,56.0,Female,Hyderabad,Telangana,South,Free,Paid Ads
C00035,2025-03-06 16:15:38,19.0,Female,Chennai,Tamil Nadu,South,Free,Referral
C00036,2025-01-05 06:33:35,26.0,Female,Hyderabad,Telangana,South,Free,Organic
C00037,2025-10-17 20:17:55,40.0,Male,Ahmedabad,Gujarat,West,Free,Referral
C00038,2025-01-04 10:21:58,50.0,Female,Kolkata,West Bengal,East,Basic,Paid Ads
C00039,2025-04-19 10:10:25,36.0,Male,Delhi,Delhi,North,Free,Paid Ads
C00040,2025-11-08 11:19:31,30.0,Male,Ahmedabad,Gujarat,West,Premium,Email
C00041,2025-06-11 13:13:20,31.0,Female,Guwahati,Assam,East,Basic,Paid Ads
C00042,2025-08-04 12:22:20,,Female,Ahmedabad,Gujarat,West,Basic,Referral
C00043,2025-03-20 15:23:42,39.0,Female,Bhubaneswar,Odisha,East,Premium,Referral
C00044,2025-03-24 01:00:44,37.0,Male,Bengaluru,Karnataka,South,Free,Organic
C00045,2025-01-11 17:39:22,50.0,Female,Mumbai,Maharashtra,West,Free,Social Media
C00046,2025-06-02 21:55:54,22.0,Male,Delhi,Delhi,North,Free,Paid Ads
C00047,2025-05-19 08:17:14,,Male,Ahmedabad,Gujarat,West,Free,Social Media
C00048,2025-10-07 15:35:42,31.0,Female,Jaipur,Rajasthan,North,Free,Referral
