order_id,delivery_date,promised_date,delivery_days,delivery_status,cancellation_flag,return_flag,return_reason
O000001,2025-11-16 08:08:06,2025-11-16 08:08:06,4.0,Late,0,0,
O000002,2025-11-09 11:24:50,2025-11-09 11:24:50,4.0,On Time,0,1,Wrong Item
O000003,2025-09-26 06:13:21,2025-09-25 06:13:21,3.0,Late,0,0,
O000004,2025-08-13 14:27:50,2025-08-13 14:27:50,3.0,On Time,0,0,
O000005,2025-06-11 05:44:45,2025-06-11 05:44:45,2.0,On Time,0,0,
O000006,,,,Cancelled,1,0,
O000007,2025-04-02 11:23:02,2025-04-02 11:23:02,5.0,On Time,0,0,
O000008,2025-05-02 00:58:27,2025-05-02 00:58:27,4.0,On Time,0,0,
O000009,2025-09-21 17:50:34,2025-09-21 17:50:34,4.0,On Time,0,0,
O000010,2025-08-03 05:39:01,2025-08-03 05:39:01,3.0,On Time,0,0,
O000011,2025-10-30 23:04:51,2025-10-29 23:04:51,4.0,Late,0,0,
O000012,2025-12-02 14:47:59,2025-12-03 14:47:59,4.0,On Time,0,0,
O000013,,,,Cancelled,1,0,
O000014,2025-04-09 23:29:48,2025-04-10 23:29:48,3.0,On Time,0,0,
O000015,,,,Cancelled,1,0,
O000016,2025-02-04 04:18:04,2025-02-04 04:18:04,4.0,On Time,0,0,
O000017,2025-05-16 21:58:57,2025-05-17 21:58:57,6.0,On Time,0,0,
O000018,2025-01-10 14:04:37,2025-01-11 14:04:37,4.0,On Time,0,0,
O000019,2025-08-01 05:39:43,2025-08-01 05:39:43,4.0,Late,0,0,
O000020,2025-06-30 11:54:37,2025-07-01 11:54:37,5.0,On Time,0,0,
O000021,,,,Cancelled,1,0,
O000022,2025-12-19 10:14:16,2025-12-19 10:14:16,3.0,On Time,0,0,
O000023,2025-02-10 23:10:00,2025-02-10 23:10:00,2.0,On Time,0,0,
O000024,2025-06-01 23:15:53,2025-06-01 23:15:53,2.0,On Time,0,0,
O000025,2025-02-02 00:19:24,2025-02-03 00:19:24,4.0,On Time,0,0,
O000026,2025-06-23 12:50:35,2025-06-23 12:50:35,2.0,On Time,0,0,
O000027,2025-12-18 07:59:48,2025-12-18 07:59:48,3.0,On Time,0,0,
O000028,2025-04-28 09:23:42,2025-04-28 09:23:42,2.0,On Time,0,0,
O000029,2025-05-28 17:55:19,2025-05-29 17:55:19,4.0,On Time,0,0,
O000030,,,,Cancelled,1,0,
O000031,2025-09-18 08:47:07,2025-09-17 08:47:07,4.0,Late,0,0,
O000032,2025-02-08 09:39:45,2025-02-09 09:39:45,4.0,On Time,0,0,
O000033,2025-11-15 01:03:02,2025-11-16 01:03:02,1.0,On Time,0,0,
O000034,2025-02-19 17:05:53,2025-02-19 17:05:53,3.0,On Time,0,1,Changed Mind
O000035,2025-12-19 20:17:59,2025-12-20 20:17:59,4.0,On Time,0,0,
O000036,2025-01-30 16:16:34,2025-01-30 16:16:34,2.0,On Time,0,0,
O000037,2025-07-26 08:43:09,2025-07-26 08:43:09,2.0,On Time,0,0,
O000038,2025-05-22 05:00:19,2025-05-22 05:00:19,5.0,On Time,0,0,
O000039,,,,Cancelled,1,0,
O000040,2025-12-12 20:05:34,2025-12-12 20:05:34,3.0,On Time,0,0,
O000041,2025-04-12 04:04:21,2025-04-11 04:04:21,6.0,Late,0,0,
O000042,2025-02-25 12:46:39,2025-02-24 12:46:39,5.0,Late,0,1,Damaged
O000043,2025-04-26 12:18:23,2025-04-26 12:18:23,4.0,On Time,0,0,
O000044,2025-06-09 16:23:41,2025-06-10 16:23:41,4.0,On Time,0,0,
O000045,2025-02-22 11:21:47,2025-02-22 11:21:47,2.0,On Time,0,0,
O000046,2025-09-15 22:09:36,2025-09-16 22:09:36,2.0,On Time,0,0,
O000047,2025-10-13 22:13:09,2025-10-13 22:13:09,2.0,On Time,0,0,
O000048,2025-03-13 22:39:41,2025-03-14 22:39:41,5.0,On Time,0,0,
O000049,2025-05-23 21:37:03,2025-05-23 21:37:03,3.0,On Time,0,0,
O000050,2025-01-23 20:05:13,2025-01-23 20:05:13,2.0,On Time,0,1,Damaged
O000051,2025-06-14 02:56:45,2025-06-14 02:56:45,2.0,On Time,0,1,Damaged
O000052,2025-12-12 06:36:00,2025-12-12 06:36:00,4.0,On Time,0,0,
O000053,2025-07-23 22:07:28,2025-07-24 22:07:28,1.0,On Time,0,0,
O000054,2025-06-12 07:09:25,2025-06-13 07:09:25,2.0,On Time,0,0,
O000055,2025-11-26 18:36:45,2025-11-27 18:36:45,2.0,On Time,0,0,
O000056,2025-06-08 23:11:23,2025-06-08 23:11:23,3.0,On Time,0,1,Wrong Item
O000057,2025-10-20 10:32:09,2025-10-20 10:32:09,5.0,On Time,0,0,
O000058,2025-10-20 07:15:32,2025-10-21 07:15:32,3.0,On Time,0,0,
O000059,2025-11-20 22:57:00,2025-11-21 22:57:00,1.0,On Time,0,0,
O000060,2025-07-08 10:13:51,2025-07-09 10:13:51,3.0,On Time,0,0,
O000061,2025-06-06 21:36:14,2025-06-07 21:36:14,1.0,On Time,0,0,
O000062,2025-06-24 23:41:45,2025-06-25 23:41:45,2.0,On Time,0,0,
O000063,2025-10-04 02:57:28,2025-10-04 02:57:28,5.0,On Time,0,0,
O000064,2025-01-12 02:18:11,2025-01-13 02:18:11,4.0,On Time,0,0,
O000065,2025-08-30 16:52:38,2025-08-31 16:52:38,1.0,On Time,0,0,
O000066,2025-05-25 08:23:24,2025-05-25 08:23:24,4.0,On Time,0,0,
O000067,2025-10-05 04:28:17,2025-10-05 04:28:17,3.0,Late,0,0,
O000068,2025-12-25 06:29:31,2025-12-26 06:29:31,1.0,On Time,0,0,
O000069,2025-10-29 02:05:41,2025-10-30 02:05:41,2.0,On Time,0,0,
O000070,2025-09-25 16:44:54,2025-09-24 16:44:54,4.0,Late,0,0,
O000071,2025-05-30 03:07:37,2025-05-30 03:07:37,3.0,Late,0,0,
O000072,2025-05-07 14:01:03,2025-05-07 14:01:03,5.0,On Time,0,0,
O000073,2025-02-12 13:42:22,2025-02-12 13:42:22,4.0,On Time,0,1,Damaged
O000074,2025-04-19 12:01:27,2025-04-19 12:01:27,2.0,On Time,0,0,
O000075,2025-03-11 11:35:50,2025-03-12 11:35:50,1.0,On Time,0,0,
O000076,2025-02-28 07:03:02,2025-02-28 07:03:02,3.0,On Time,0,0,
O000077,2025-01-23 06:34:09,2025-01-24 06:34:09,3.0,On Time,0,1,Wrong Item
O000078,2025-08-09 23:00:20,2025-08-09 23:00:20,4.0,On Time,0,0,
O000079,2025-09-23 12:55:59,2025-09-23 12:55:59,3.0,On Time,0,0,
O000080,2025-05-30 23:05:31,2025-05-30 23:05:31,6.0,Late,0,0,
O000081,2025-01-31 07:13:16,2025-01-31 07:13:16,4.0,On Time,0,0,
O000082,2025-07-30 03:44:31,2025-07-31 03:44:31,5.0,On Time,0,0,
O000083,2025-08-11 08:22:05,2025-08-11 08:22:05,2.0,On Time,0,0,
O000084,,,,Cancelled,1,0,
O000085,2025-01-16 02:22:39,2025-01-16 02:22:39,3.0,Late,0,0,
O000086,2025-11-14 05:02:39,2025-11-13 05:02:39,3.0,Late,0,0,
O000087,2025-09-28 14:03:51,2025-09-28 14:03:51,3.0,On Time,0,0,
O000088,2025-08-05 20:51:09,2025-08-05 20:51:09,4.0,On Time,0,0,
O000089,,,,Cancelled,1,0,
O000090,2025-07-16 00:58:57,2025-07-17 00:58:57,4.0,On Time,0,0,
O000091,2025-05-16 11:28:18,2025-05-17 11:28:18,5.0,On Time,0,0,
O000092,2025-11-14 03:00:22,2025-11-14 03:00:22,4.0,On Time,0,0,
O000093,2025-06-26 20:00:17,2025-06-26 20:00:17,2.0,On Time,0,1,Damaged
O000094,2025-05-15 17:38:06,2025-05-16 17:38:06,1.0,On Time,0,0,
O000095,2025-02-06 07:12:55,2025-02-06 07:12:55,5.0,On Time,0,0,
O000096,2025-09-10 10:39:33,2025-09-10 10:39:33,5.0,On Time,0,0,
O000097,2025-02-05 17:27:04,2025-02-05 17:27:04,5.0,On Time,0,0,
O000098,2025-11-04 03:04:48,2025-11-03 03:04:48,6.0,Late,0,1,Wrong Item
O000099,2025-08-18 08:19:54,2025-08-18 08:19:54,5.0,On Time,0,0,
O000100,,,,Cancelled,1,0,
O000101,2025-02-06 17:20:08,2025-02-06 17:20:08,3.0,On Time,0,0,
O000102,2025-02-16 00:14:55,2025-02-16 00:14:55,3.0,On Time,0,0,
O000103,2025-02-10 03:59:42,2025-02-10 03:59:42,2.0,On Time,0,0,
O000104,2025-07-19 12:53:56,2025-07-18 12:53:56,3.0,Late,0,0,
O000105,2025-03-18 02:01:30,2025-03-17 02:01:30,4.0,Late,0,0,
O000106,2025-12-03 09:30:28,2025-12-04 09:30:28,5.0,On Time,0,0,
O000107,2025-03-10 23:06:48,2025-03-11 23:06:48,5.0,On Time,0,1,Wrong Item
O000108,2025-02-06 04:17:18,2025-02-06 04:17:18,6.0,On Time,0,0,
O000109,2025-11-10 21:18:24,2025-11-10 21:18:24,3.0,On Time,0,0,
O000110,2025-04-17 08:26:08,2025-04-17 08:26:08,3.0,On Time,0,0,
O000111,2025-09-22 14:11:07,2025-09-23 14:11:07,1.0,On Time,0,0,
O000112,2025-01-28 06:20:38,2025-01-29 06:20:38,3.0,On Time,0,0,
O000113,2025-01-07 21:52:26,2025-01-07 21:52:26,2.0,On Time,0,0,
O000114,2025-03-21 09:42:05,2025-03-21 09:42:05,3.0,On Time,0,0,
O000115,2025-11-27 18:38:23,2025-11-27 18:38:23,4.0,On Time,0,0,
O000116,2025-04-05 16:45:20,2025-04-06 16:45:20,1.0,On Time,0,0,
O000117,2025-05-11 21:19:28,2025-05-11 21:19:28,3.0,On Time,0,0,
O000118,2025-06-14 01:48:07,2025-06-14 01:48:07,4.0,On Time,0,0,
O000119,2025-12-27 03:58:43,2025-12-28 03:58:43,3.0,On Time,0,1,Damaged
O000120,2025-10-10 12:09:41,2025-10-10 12:09:41,5.0,On Time,0,0,
O000121,2025-02-14 15:20:32,2025-02-14 15:20:32,4.0,On Time,0,0,
O000122,2025-07-27 23:34:23,2025-07-26 23:34:23,4.0,Late,0,0,
O000123,2025-06-01 10:11:34,2025-06-02 10:11:34,1.0,On Time,0,1,Changed Mind
O000124,2025-04-06 08:59:51,2025-04-05 08:59:51,5.0,Late,0,0,
