order_id,product_id,quantity,unit_price,discount,revenue,profit
O046881,P0162,1,1718.38,25,1693.38,821.7
O042041,P0167,1,1565.97,0,1565.97,931.3
O028044,P0088,1,1116.65,25,1091.65,524.46
O021906,P0096,1,543.01,25,518.01,268.82
O030160,P0086,2,1452.73,25,2855.46,1859.24
O022248,P0077,2,294.64,100,389.28,64.64
O018545,P0083,1,393.11,50,343.11,144.58
O052687,P0160,1,1290.1,25,1265.1,564.82
O022189,P0015,1,1094.65,0,1094.65,617.57
O003152,P0010,1,358.57,0,358.57,207.6
O017812,P0007,1,744.69,25,719.69,288.57
O023062,P0170,1,1256.09,50,1206.09,604.8
O050635,P0185,1,2116.46,25,2091.46,1158.93
O036428,P0130,1,878.19,25,853.19,547.26
O051268,P0087,1,3813.45,25,3788.45,2048.26
O021754,P0004,4,2273.68,25,8994.74,4566.14
O046626,P0037,1,316.87,0,316.87,115.88
O050079,P0006,1,1463.54,100,1363.54,495.92
O016984,P0066,1,558.42,0,558.42,337.1
O045583,P0049,1,537.58,150,387.58,165.98
O013151,P0025,1,741.29,100,641.29,256.61
O015817,P0056,2,1981.16,0,3962.31,2109.93
O025179,P0090,1,1382.68,0,1382.68,763.71
O040863,P0064,1,2905.48,25,2880.48,1590.57
O033795,P0199,1,1961.46,50,1911.46,1191.23
O052487,P0106,1,647.06,25,622.06,333.13
O031463,P0112,1,415.92,25,390.92,103.87
O040897,P0188,3,6943.05,100,20529.15,12697.56
O001930,P0167,2,1629.3,0,3258.61,1989.27
O019755,P0029,3,309.3,0,927.9,491.61
O035249,P0171,1,503.5,50,453.5,240.57
O007955,P0029,1,298.59,0,298.59,153.16
O043287,P0009,2,1004.66,0,2009.32,1186.64
O009850,P0078,1,2302.54,0,2302.54,744.38
O039525,P0013,1,1677.57,25,1652.57,962.99
O016584,P0015,2,1044.92,50,1989.83,1035.67
O016313,P0028,1,2319.6,50,2269.6,1142.87
O032145,P0007,4,746.61,0,2986.43,1261.95
O040562,P0155,1,1181.42,0,1181.42,586.51
O023015,P0088,1,1177.56,25,1152.56,585.37
O030003,P0179,1,440.07,50,390.07,178.23
O040029,P0080,1,1421.73,0,1421.73,812.98
O025286,P0032,1,631.39,0,631.39,342.26
O016220,P0145,3,2533.88,50,7451.64,3371.88
O017273,P0139,1,750.83,25,725.83,379.83
O004294,P0152,1,1258.65,0,1258.65,713.49
O009645,P0134,1,2655.91,50,2605.91,1418.4
O033883,P0079,1,1722.49,50,1672.49,944.7
O022190,P0061,1,2175.95,0,2175.95,1212.38
O026721,P0114,2,680.65,25,1311.3,587.38
O048925,P0166,1,952.34,0,952.34,476.79
O046669,P0046,1,2866.79,100,2766.79,1566.24
O054710,P0200,1,848.96,0,848.96,335.17
O038707,P0128,1,823.25,0,823.25,493.49
O000348,P0118,1,892.46,100,792.46,225.5
O000351,P0128,1,841.8,0,841.8,512.04
O023790,P0131,1,1734.93,0,1734.93,825.34
O033174,P0111,1,1272.94,0,1272.94,697.14
O007025,P0050,1,3722.75,0,3722.75,2098.18
O034976,P0188,1,7078.29,50,7028.29,4417.76
O031787,P0145,1,2535.51,50,2485.51,1125.59
O052054,P0014,1,712.77,150,562.77,257.2
O052312,P0041,1,1741.98,0,1741.98,868.0
O006963,P0015,1,1098.53,0,1098.53,621.45
O042282,P0131,2,1725.08,0,3450.16,1630.98
O011524,P0163,1,2404.59,0,2404.59,1410.52
O013144,P0016,1,1717.85,25,1692.85,649.66
O028713,P0145,1,2548.27,0,2548.27,1188.35
O005118,P0034,1,1506.43,25,1481.43,734.67
O054810,P0054,1,4352.43,150,4202.43,1530.7
O023711,P0065,1,1287.99,150,1137.99,661.91
O011836,P0156,1,638.61,0,638.61,219.29
O023615,P0142,1,1005.52,150,855.52,352.91
O039023,P0096,2,531.06,25,1012.12,513.74
O027743,P0102,3,1287.87,0,3863.6,2203.82
O053540,P0040,1,926.5,25,901.5,515.46
O030092,P0029,2,300.1,0,600.19,309.33
O043581,P0148,2,444.28,0,888.56,379.68
O010646,P0113,1,1236.48,0,1236.48,697.34
O027471,P0073,1,278.46,150,128.46,-51.13
O014565,P0052,1,1068.34,25,1043.34,273.97
O002963,P0038,1,1079.25,25,1054.25,626.35
O043601,P0048,1,830.44,25,805.44,325.99
O022427,P0172,1,932.85,50,882.85,209.01
O038998,P0069,3,2102.54,25,6232.63,3524.02
O048545,P0009,2,1006.07,0,2012.13,1189.45
O021128,P0150,4,1709.99,25,6739.97,3526.49
O034883,P0194,1,786.91,50,736.91,303.13
O003510,P0065,1,1351.31,25,1326.31,850.23
O009872,P0140,3,594.39,0,1783.17,906.3
O027826,P0080,1,1456.92,0,1456.92,848.17
O016562,P0175,1,2979.93,100,2879.93,1749.62
O052704,P0171,1,505.98,0,505.98,293.05
O048436,P0025,1,727.89,0,727.89,343.21
