order_id,customer_id,order_date,order_status,payment_method,discount,shipping_fee,total_revenue,total_profit
O000001,C09478,2025-11-12 08:08:06,Completed,COD,500.0,45.7,4124.81,1926.26
O000002,C09289,2025-11-05 11:24:50,Completed,Wallet,150.0,0.0,1270.64,567.88
O000003,C01241,2025-09-23 06:13:21,Completed,Wallet,150.0,0.0,2926.57,1633.88
O000004,C00530,2025-08-10 14:27:50,Completed,UPI,50.0,103.9,2557.05,1045.12
O000005,C07751,2025-06-09 05:44:45,Completed,Wallet,100.0,0.0,0.0,-100.0
O000006,C07087,2025-08-10 12:04:11,Cancelled,COD,100.0,0.0,2393.84,1219.01
O000007,C01751,2025-03-28 11:23:02,Completed,UPI,200.0,0.0,8158.18,3679.88
O000008,C06828,2025-04-28 00:58:27,Completed,Wallet,0.0,0.0,0.0,0.0
O000009,C00154,2025-09-17 17:50:34,Completed,UPI,300.0,0.0,0.0,-300.0
O000010,C06295,2025-07-31 05:39:01,Completed,Debit Card,50.0,0.0,5806.68,2716.85
O000011,C08302,2025-10-26 23:04:51,Completed,UPI,500.0,0.0,599.24,-153.46
O000012,C06403,2025-11-28 14:47:59,Completed,Net Banking,200.0,0.0,3451.45,1442.85
O000013,C00647,2025-06-26 13:31:06,Cancelled,Net Banking,150.0,0.0,1031.15,521.46
O000014,C09908,2025-04-06 23:29:48,Completed,Net Banking,0.0,0.0,447.51,226.19
O000015,C03535,2025-06-09 21:37:13,Cancelled,COD,100.0,103.25,2932.75,1565.4
O000016,C03781,2025-01-31 04:18:04,Completed,Wallet,200.0,0.0,3141.34,1363.2
O000017,C00838,2025-05-10 21:58:57,Completed,COD,300.0,0.0,8309.13,4118.25
O000018,C01658,2025-01-06 14:04:37,Completed,UPI,200.0,0.0,10393.04,5643.0
O000019,C02683,2025-07-28 05:39:43,Completed,Debit Card,100.0,64.11,2601.89,1064.92
O000020,C07964,2025-06-25 11:54:37,Completed,Net Banking,150.0,104.61,2328.21,1016.34
O000021,C06901,2025-07-01 17:30:48,Cancelled,UPI,200.0,0.0,10149.89,4769.55
O000022,C05815,2025-12-16 10:14:16,Completed,Wallet,50.0,0.0,0.0,-50.0
O000023,C08626,2025-02-08 23:10:00,Completed,UPI,150.0,0.0,8942.24,4610.55
O000024,C09978,2025-05-30 23:15:53,Completed,COD,100.0,0.0,1790.63,527.64
