ticket_id,customer_id,order_id,ticket_date,issue_type,priority,resolution_time,resolved_flag
T000001,C03532,O011144,2025-11-07 09:32:00,Delivery,Low,11.0,1
T000002,C04570,O037703,2025-09-10 09:52:15,Product Quality,Medium,11.3,1
T000003,C06550,O001082,2025-01-06 08:17:16,Product Quality,Low,21.9,1
T000004,C09345,O043082,2025-09-21 02:02:41,Delivery,Low,15.1,0
T000005,C07881,O041324,2025-03-03 08:57:31,Delivery,Medium,7.0,1
T000006,C03128,O028243,2025-11-23 11:08:48,Payment,Medium,12.7,1
T000007,C07406,O043731,2025-03-26 15:35:06,Cancellation,High,13.6,1
T000008,C02628,O026348,2025-04-24 11:29:50,Delivery,Medium,10.3,1
T000009,C09730,O050083,2025-06-09 03:22:16,Other,Low,6.9,1
T000010,C09250,O043465,2025-08-18 07:15:29,Other,Medium,11.2,1
T000011,C06808,O048745,2025-06-10 12:40:09,Delivery,Low,26.9,1
T000012,C05977,O028114,2025-02-16 06:03:24,Product Quality,Medium,7.8,1
T000013,C06383,O015189,2025-05-29 08:36:36,Payment,High,5.6,1
T000014,C02344,O053891,2025-11-18 23:22:06,Delivery,Medium,6.6,1
T000015,C08759,O019191,2025-06-15 04:48:19,Cancellation,Low,7.5,1
T000016,C03115,O022313,2025-05-11 04:42:18,Delivery,Medium,17.0,1
T000017,C05209,O045114,2025-09-18 08:03:44,Delivery,Medium,11.6,0
T000018,C03021,O021572,2025-05-02 03:10:45,Delivery,Low,2.7,1
T000019,C04215,O052816,2025-04-10 01:15:06,Product Quality,High,18.7,1
T000020,C09970,O009270,2025-07-31 20:18:55,Product Quality,Low,3.5,1
T000021,C08004,O009993,2025-07-10 07:55:41,Delivery,High,0.5,1
T000022,C09412,O048854,2025-06-21 08:55:54,Other,Low,23.1,1
T000023,C07107,O006395,2025-08-25 02:46:34,Product Quality,High,14.0,1
T000024,C07573,O011054,2025-11-10 00:45:48,Other,Low,11.9,1
T000025,C00625,O047779,2025-11-17 13:43:38,Product Quality,Medium,18.7,1
T000026,C06371,O020439,2025-10-23 15:57:10,Product Quality,Low,27.4,1
T000027,C06435,O044854,2025-06-26 13:32:37,Return,Medium,17.8,1
T000028,C04387,O016600,2025-10-02 05:35:38,Return,Medium,12.7,1
T000029,C06156,O011268,2025-09-07 19:31:26,Cancellation,Low,9.6,1
T000030,C01338,O028304,2025-04-08 07:21:04,Delivery,Low,28.3,1
T000031,C00063,O013976,2025-10-26 18:09:35,Payment,Low,0.9,1
T000032,C03455,O050202,2025-07-15 20:22:58,Payment,Low,3.5,1
T000033,C07867,O008520,2025-04-28 03:43:44,Product Quality,Low,4.7,1
T000034,C05603,O015529,2025-12-08 09:36:26,Delivery,Low,8.4,1
T000035,C08113,O013754,2025-03-04 05:06:19,Delivery,Low,4.5,1
T000036,C06631,O011168,2025-11-21 16:10:30,Product Quality,Medium,20.8,1
T000037,C02099,O025008,2025-01-09 12:27:56,Payment,Low,10.6,1
T000038,C04284,O012433,2025-07-03 02:36:30,Payment,Medium,6.8,1
T000039,C01205,O016974,2025-05-02 15:23:03,Cancellation,Medium,15.7,1
T000040,C04359,O019817,2025-06-01 23:38:47,Delivery,Low,23.6,1
T000041,C02740,O005506,2025-05-05 17:35:34,Delivery,Medium,20.1,1
T000042,C04390,O010041,2025-08-13 08:34:31,Payment,Medium,4.2,1
T000043,C06602,O019203,2025-09-24 18:39:16,Delivery,Low,10.8,0
T000044,C05300,O030997,2025-07-24 15:02:09,Payment,Medium,20.3,1
T000045,C04141,O033896,2025-11-11 23:11:24,Return,Low,21.8,1
T000046,C09579,O051791,2025-09-22 00:27:46,Other,Medium,22.3,0
T000047,C05878,O045352,2025-08-12 08:11:55,Product Quality,Medium,1.9,1
T000048,C09277,O029673,2025-10-06 03:12:19,Return,High,15.3,1
T000049,C09379,O040734,2025-08-24 16:43:54,Product Quality,Medium,1.3,1
T000050,C00571,O035835,2025-03-21 11:15:44,Product Quality,Medium,2.3,1
T000051,C09720,O032413,2025-03-21 06:19:36,Cancellation,Medium,13.9,1
T000052,C03705,O020775,2025-11-17 22:56:50,Other,Medium,31.8,1
T000053,C01983,O053916,2025-08-04 15:55:53,Cancellation,Low,9.0,1
T000054,C06786,O031062,2025-04-21 09:33:40,Cancellation,Low,20.2,1
T000055,C07711,O035201,2025-10-21 21:21:51,Delivery,Medium,66.8,1
T000056,C00883,O045856,2025-08-26 13:06:07,Delivery,Low,8.1,1
T000057,C05225,O014532,2025-01-05 12:56:18,Delivery,High,9.5,1
T000058,C07599,O018469,2025-10-21 19:52:28,Cancellation,Low,17.5,1
T000059,C04921,O031694,2025-03-21 01:00:51,Delivery,High,7.6,1
T000060,C02236,O052654,2025-03-12 18:56:56,Cancellation,High,15.0,1
T000061,C09865,O039918,2025-02-11 13:25:25,Delivery,Medium,3.4,1
T000062,C09390,O050236,2025-07-07 06:48:16,Return,High,8.9,1
T000063,C00614,O035963,2025-11-06 14:43:12,Delivery,Medium,14.3,1
T000064,C00396,O046381,2025-01-04 20:18:12,Product Quality,Low,53.2,1
T000065,C03489,O022580,2025-03-16 10:19:21,Payment,Low,34.3,0
T000066,C09720,O027529,2025-09-01 19:05:18,Delivery,Medium,19.1,1
T000067,C05457,O015653,2025-11-10 07:29:30,Other,Medium,11.8,1
T000068,C05179,O001349,2025-10-12 01:01:07,Cancellation,Low,10.8,1
T000069,C08436,O001643,2025-10-31 22:32:32,Return,Medium,30.7,1
T000070,C01411,O011113,2025-10-26 05:39:46,Product Quality,Medium,41.9,1
T000071,C05924,O001187,2025-05-26 13:30:39,Product Quality,Medium,8.7,1
T000072,C03001,O051217,2025-06-08 05:41:56,Other,High,3.3,1
T000073,C05818,O034763,2025-08-15 03:20:22,Payment,Low,5.0,1
T000074,C09332,O001250,2025-03-17 09:55:40,Payment,Low,13.1,1
T000075,C04738,O021540,2025-08-03 01:53:40,Other,Medium,12.4,1
T000076,C03361,O018502,2025-09-22 15:19:28,Product Quality,High,4.7,0
T000077,C04143,O045702,2025-04-18 15:22:26,Cancellation,Medium,38.3,1
T000078,C08712,O052092,2025-12-29 09:28:44,Delivery,Low,10.4,1
T000079,C08436,O035278,2025-09-09 17:03:52,Payment,Low,11.5,0
T000080,C02956,O054197,2025-07-17 07:12:47,Delivery,Medium,34.1,1
T000081,C05327,O024043,2025-10-11 12:31:19,Return,High,5.7,1
T000082,C09081,O035419,2025-12-16 14:15:02,Return,Medium,31.3,1
T000083,C08727,O011454,2025-07-23 12:47:09,Other,Low,8.8,1
T000084,C08396,O038677,2025-01-13 01:04:04,Cancellation,Low,15.1,1
T000085,C07316,O018543,2025-11-22 19:42:41,Delivery,Medium,30.8,1
T000086,C01894,O009179,2025-08-08 19:25:36,Other,High,18.5,0
T000087,C01615,O008424,2025-10-14 03:13:10,Product Quality,High,9.7,1
T000088,C05252,O019721,2025-06-25 09:24:31,Product Quality,Medium,15.2,0
T000089,C05569,O013842,2025-02-21 22:13:10,Delivery,High,30.2,1
T000090,C07809,O053402,2025-07-16 11:13:41,Product Quality,Medium,2.9,1
T000091,C00535,O041947,2025-12-11 07:20:18,Delivery,Medium,35.5,1
T000092,C02108,O022887,2025-01-27 03:40:41,Product Quality,Low,9.7,1
T000093,C07273,O020491,2025-11-25 10:00:00,Delivery,Low,18.6,1
T000094,C05982,O044131,2025-11-12 09:33:59,Delivery,High,11.0,1
T000095,C08007,O036438,2025-09-03 06:43:22,Delivery,High,5.7,1
T000096,C08675,O011984,2025-04-14 20:45:39,Payment,Medium,6.4,1
T000097,C01517,O016128,2025-12-01 07:35:41,Product Quality,Medium,17.5,1
T000098,C02548,O014963,2025-06-06 07:17:19,Return,Low,2.2,1
T000099,C04091,O006934,2025-01-09 09:33:04,Cancellation,Medium,43.8,1
T000100,C07541,O014896,2025-04-30 00:32:49,Return,Medium,13.8,1
T000101,C02059,O054371,2025-10-14 15:17:30,Delivery,Low,5.4,1
T000102,C00434,O040108,2025-12-05 10:30:29,Other,Low,64.2,0
T000103,C06395,O004147,2025-11-12 16:23:17,Other,Medium,16.1,1
T000104,C03527,O014664,2025-08-21 07:00:38,Product Quality,Medium,0.5,1
T000105,C08941,O023067,2025-04-01 23:10:12,Delivery,Low,35.9,1
T000106,C06260,O040643,2025-10-07 18:39:22,Product Quality,Medium,20.3,1
