customer_id,churn_probability,risk_score,risk_segment,value_segment,retention_priority,actual_churn,predicted_churn,total_orders,total_revenue,total_profit,profit_margin,avg_order_value,avg_discount,recency_days,age,region,subscription_type,acquisition_channel,cancelled_orders,cancellation_rate,customer_lifetime_days,returned_orders,return_rate,revenue_per_order
C09624,0.4775052507442592,47.75,High Risk,Low Value,Medium Priority,0,1,1,5388.87,2279.8,0.4230571529838352,5388.87,50.0,268,42.0,North,Free,Email,0,0.0,0,0,0.0,5388.87
C00385,0.47013340658449426,47.01,High Risk,Low Value,Medium Priority,0,1,1,3594.44,1643.82,0.45732297659718896,3594.44,150.0,83,26.0,North,Free,Social Media,0,0.0,0,0,0.0,3594.44
C09312,0.4695148163250078,46.95,High Risk,Low Value,Medium Priority,0,1,1,2781.14,1177.14,0.42325808840978885,2781.14,0.0,198,30.0,West,Free,Social Media,0,0.0,0,0,0.0,2781.14
C04911,0.4594977011228121,45.95,High Risk,Low Value,Medium Priority,0,1,2,4014.92,2031.63,0.5060200452312873,2007.46,125.0,65,21.0,South,Free,Social Media,0,0.0,11,0,0.0,2007.46
C02993,0.45640474606396086,45.64,High Risk,Low Value,Medium Priority,1,1,1,833.57,221.52,0.2657485274182132,833.57,300.0,262,22.0,North,Free,Social Media,0,0.0,0,0,0.0,833.57
C00559,0.4545266795927325,45.45,High Risk,Low Value,Medium Priority,1,1,1,385.45,78.2,0.2028797509404592,385.45,300.0,212,19.0,North,Free,Email,0,0.0,0,0,0.0,385.45
C09614,0.4470584954304344,44.71,High Risk,Medium Value,High Priority,1,1,2,10865.689999999999,5439.6900000000005,0.5006299645949776,5432.844999999999,50.0,109,59.0,East,Free,Email,0,0.0,104,0,0.0,5432.844999999999
C01396,0.4469752446804545,44.7,High Risk,Low Value,Medium Priority,0,1,1,939.82,457.6,0.48690174714306994,939.82,200.0,111,50.0,South,Free,Organic,0,0.0,0,0,0.0,939.82
C02467,0.4458348373824382,44.58,High Risk,Medium Value,High Priority,0,1,2,6646.15,3306.74,0.497542186077654,3323.075,100.0,28,30.0,West,Free,Email,0,0.0,167,0,0.0,3323.075
C03220,0.4454648595294876,44.55,High Risk,Low Value,Medium Priority,0,1,1,245.95,48.81,0.19845497052246394,245.95,150.0,176,40.0,North,Free,Social Media,0,0.0,0,0,0.0,245.95
C07160,0.44293273245175946,44.29,High Risk,Low Value,Medium Priority,0,1,1,2877.57,1416.04,0.49209576135419814,2877.57,50.0,212,18.0,North,Free,Email,0,0.0,0,0,0.0,2877.57
C03066,0.44219370415614406,44.22,High Risk,Low Value,Medium Priority,0,1,3,2888.45,1161.0,0.4019456802091087,962.8166666666666,133.33333333333334,206,27.0,West,Free,Email,0,0.0,59,1,0.3333333333333333,962.8166666666666
C09370,0.4417088815334666,44.17,High Risk,Medium Value,High Priority,1,1,2,5814.21,3582.42,0.6161490555036712,2907.105,50.0,229,23.0,North,Free,Social Media,0,0.0,27,0,0.0,2907.105
C07633,0.4415901716664404,44.16,High Risk,Low Value,Medium Priority,1,1,1,856.76,434.07,0.5066412997805686,856.76,0.0,209,40.0,West,Free,Social Media,0,0.0,0,1,1.0,856.76
C04866,0.43986758029902084,43.99,High Risk,Low Value,Medium Priority,0,1,1,2056.8,1093.23,0.5315198366394399,2056.8,150.0,137,48.0,North,Free,Social Media,0,0.0,0,0,0.0,2056.8
C00740,0.4384123510807977,43.84,High Risk,Low Value,Medium Priority,0,1,2,4990.76,2726.42,0.5462935504812894,2495.38,0.0,64,36.0,West,Free,Organic,0,0.0,27,0,0.0,2495.38
C02531,0.4381394101944485,43.81,High Risk,Low Value,Medium Priority,0,1,1,1883.59,982.49,0.5216050202007868,1883.59,0.0,167,32.0,North,Free,Social Media,0,0.0,0,0,0.0,1883.59
C01518,0.4378875523398461,43.79,High Risk,Medium Value,High Priority,1,1,2,8711.800000000001,4812.57,0.5524197066048347,4355.900000000001,200.0,85,35.0,South,Free,Organic,0,0.0,14,0,0.0,4355.900000000001
C03881,0.4374574172653571,43.75,High Risk,Medium Value,High Priority,0,1,3,6704.71,3276.69,0.4887146498506274,2234.903333333333,33.333333333333336,162,34.0,West,Free,Referral,0,0.0,91,0,0.0,2234.903333333333
C00670,0.43610588934948435,43.61,High Risk,Low Value,Medium Priority,1,1,1,3084.39,1468.82,0.476210855306884,3084.39,0.0,28,52.0,West,Free,Organic,0,0.0,0,0,0.0,3084.39
C06583,0.43584849920118235,43.58,High Risk,Low Value,Medium Priority,1,1,1,0.0,-150.0,-150.0,0.0,150.0,36,25.0,North,Free,Social Media,0,0.0,0,0,0.0,0.0
C04414,0.4356526627044505,43.57,High Risk,Low Value,Medium Priority,0,1,1,0.0,-200.0,-200.0,0.0,200.0,26,46.0,North,Free,Social Media,0,0.0,0,0,0.0,0.0
C00766,0.43503496824594023,43.5,High Risk,Low Value,Medium Priority,1,1,1,3204.05,1751.28,0.5465832305987733,3204.05,200.0,223,44.0,North,Free,Email,0,0.0,0,0,0.0,3204.05
C06336,0.4346741161888547,43.47,High Risk,Low Value,Medium Priority,1,1,1,4233.54,1890.65,0.44658843426541384,4233.54,500.0,234,48.0,North,Free,Email,1,0.5,0,0,0.0,4233.54
